"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Jerry Mcnerney","house","California","9th","","Jerry McNerney","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Michael Eggman","house","California","10th","","Jeff Denham","""THE NOONER for June 9, 2015""","http://www.aroundthecapitol.com/nooner/2015-06-09.html"
"Mark Desaulnier","house","California","11th","","Mark DeSaulnier","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Nancy Pelosi","house","California","12th","","Nancy Pelosi","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Barbara Lee","house","California","13th","","Barbara Lee","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Jackie Speier","house","California","14th","","Jackie Speier","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Eric Swalwell","house","California","15th","","Eric Swalwell","""Swalwell rejects Senate run, endorses Harris""","http://www.sfgate.com/politics/article/Swalwell-rejects-Senate-run-endorses-Harris-6030445.php"
"Jim Costa","house","California","16th","","Jim Costa","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Mike Honda","house","California","17th","","Mike Honda","""Mike Honda declares candidacy for a ninth term""","http://www.mercurynews.com/nation-world/ci_28325325/mike-honda-declares-candidacy-ninth-term"
"Ro Khanna","house","California","17th","","Mike Honda","""Indian-American Ro Khanna to announce his Congressional bid""","http://www.dnaindia.com/world/report-indian-american-ro-khanna-to-announce-his-congressional-bid-2089925"
"Anna Eshoo","house","California","18th","","Anna Eshoo","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Zoe Lofgren","house","California","19th","","Zoe Lofgren","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Jimmy Panetta","house","California","20th","","Sam Farr","""It's official: Jimmy Panetta running for Congress""","http://www.ksbw.com/news/its-official-jimmy-panetta-running-for-congress/36479476"
"Emilio Huerta","house","California","21st","","David Valadao","""Huerta brings name recognition to 21st District race""","http://www.bakersfield.com/news/2016/01/04/huerta-brings-name-recognition-to-21st-district-race.html"
"Louie Campos","house","California","22nd","","Devin Nunes","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Wendy Reed","house","California","23rd","","Kevin McCarthy","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Salud Carbajal","house","California","24th","","Lois Capps","""Supervisor Salud Carbajal Announces Run for Congress""","http://www.independent.com/news/2015/apr/09/supervisor-salud-carbajal-announces-run-congress"
"Bryan Caforio","house","California","25th","","Steve Knight","""Democratic lawyer announcing challenge to GOP Rep. Steve Knight""","http://www.latimes.com/politics/la-pol-ca-bryan-caforio-steve-knight-20151210-story.html"
"Julia Brownley","house","California","26th","","Julia Brownley","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Judy Chu","house","California","27th","","Judy Chu","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Adam Schiff","house","California","28th","","Adam Schiff","""Rep. Adam Schiff will not run for Barbara Boxer's Senate seat""","http://www.latimes.com/local/political/la-me-pc-adam-schiff-barbara-boxer-20150512-story.html"
"Tony Cárdenas","house","California","29th","","Tony Cárdenas","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Richard Alarcon","house","California","29th","","Tony Cárdenas","""With his convictions overturned, Richard Alarcon says he'll run against Rep. Tony Cardenas""","http://www.latimes.com/politics/la-me-ln-richard-alarcon-congress-20160311-story.html"
"Brad Sherman","house","California","30th","","Brad Sherman","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Pete Aguilar","house","California","31st","","Pete Aguilar","""CONGRESS: Pete Aguilar takes in more than $400K for re-election""","http://www.pe.com/articles/election-764714-aguilar-raised.html"
"Grace Napolitano","house","California","32nd","","Grace Napolitano","""The Year the Woman Retires: California's Aging Congressional Delegation""","http://www.foxandhoundsdaily.com/2015/01/year-woman-retires-californias-aging-congressional-delegation"
"Roger Hernandez","house","California","32nd","","Grace Napolitano","",""
"Ted Lieu","house","California","33rd","","Ted Lieu","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Xavier Becerra","house","California","34th","","Xavier Becerra","""Becerra steps aside, aspires for more""","http://www.sacbee.com/opinion/opn-columns-blogs/dan-morain/article29468791.html"
"Adrienne Edwards","house","California","34th","","Xavier Becerra","",""
